"","Squad","Player","Age","Gls","Ast","PK","CrdY","CrdR","xG_Expected","xA_Expected","single_pos","Min_percent_Playing_Time","Subs_Subs","unSub_Subs","Plus_Minus_Team_Success","On_minus_Off_Team_Success_xG","Sh_Standard","SoT_percent_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","PrgDist_Total","KP","PPA","CrsPA","Prog","Tkl_Tackles","Tkl_percent_Vs_Dribbles","Press_Pressures","_percent_Pressures","Blocks_Blocks","Int","Clr","Err","GA","SoTA","Save_percent","CS","player_height_mtrs","player_market_value_euro","forward","defender","midfield","keeper"
"239","Torino","Luca Gemello","21",0,0,0,0,0,0,0,"GK",2.6,0,27,4,1.14,0,0,0,34,44.1,468,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,1,"1.9",3e+05,0,0,0,1
"240","Torino","Daniele Baselli","29",0,0,0,0,0,0.3,0,"MF",4.4,6,11,-5,-0.56,1,0,0.29,87,73.6,364,1,0,0,3,2,20,34,29.4,1,3,4,0,0,0,0,0,"1.82",1400000,0,0,1,0
"241","Torino","Simone Zaza","30",0,0,0,1,0,1,0,"FW",3.8,10,6,0,0.47,9,33.3,0.11,44,77.3,88,0,1,0,2,3,100,20,40,1,0,5,0,0,0,0,0,"1.86",1e+06,1,0,0,0
"242","Torino","Ben Lhassine Kone","21",0,0,0,0,0,0,0.1,"MF",2.4,1,12,-1,-1.06,0,0,0,36,83.3,123,2,0,0,3,3,100,26,26.9,0,1,2,0,0,0,0,0,"1.72",450000,0,0,1,0
"243","Torino","Magnus Warming","21",0,0,0,0,0,0,0,"FW",1.7,4,23,0,0.24,0,0,0,21,52.4,14,0,0,0,1,3,0,15,33.3,0,0,0,0,0,0,0,0,"1.88",9e+05,1,0,0,0
"244","Torino","Simone Verdi","29",1,0,0,0,0,0.3,0,"FW",1.3,3,6,1,-0.77,2,50,0.16,17,52.9,40,1,0,0,0,2,0,7,42.9,0,1,0,0,0,0,0,0,"1.74",5e+06,1,0,0,0
"245","Sassuolo","Andrea Consigli","34",0,0,0,2,0,0,0.1,"GK",97.1,0,0,1,0.22,0,0,0,1466,78.2,17223,1,1,0,0,0,0,7,14.3,0,0,1,3,63,159,65.4,3,"1.89",1500000,0,0,0,1
"246","Sassuolo","Gian Marco Ferrari","29",1,0,0,6,1,1.9,0.4,"DF",91.3,1,1,-4,0.24,25,36,0.07,2226,90.5,15267,5,9,1,135,22,48,184,34.8,50,62,123,1,0,0,0,0,"1.89",7e+06,0,1,0,0
"247","Sassuolo","Davide Frattesi","21",4,3,0,6,0,6.6,3.5,"MF",83.5,1,0,3,-0.17,66,28.8,0.1,1265,83.7,4309,26,24,4,110,51,35.6,516,27.7,55,45,50,2,0,0,0,0,"1.84",2e+07,0,0,1,0
"248","Sassuolo","Domenico Berardi","26",15,14,6,9,0,12.4,8.5,"FW",82.4,0,0,7,0.73,103,38.8,0.08,1416,71.8,6257,77,57,7,191,29,28.6,549,24.4,45,51,25,0,0,0,0,0,"1.83",3.5e+07,1,0,0,0
"249","Sassuolo","Giacomo Raspadori","21",10,4,0,9,1,7.3,3.8,"MF",80.1,4,0,4,0.37,72,34.7,0.1,1076,78.5,2484,46,35,2,71,34,25.9,426,27.5,27,23,12,1,0,0,0,0,"1.72",2.8e+07,0,0,1,0
"250","Sassuolo","Gianluca Scamacca","22",16,0,1,7,0,10.8,2.5,"FW",62.7,11,0,2,-0.02,78,46.2,0.13,564,74.6,1093,26,13,1,32,21,50,342,24.3,16,9,20,0,0,0,0,0,"1.95",3e+07,1,0,0,0
"251","Sassuolo","Mert Müldür","22",0,0,0,5,0,0.6,1.2,"DF",59.8,7,6,-8,-0.57,9,44.4,0.07,1197,80.9,7140,13,19,5,95,51,57.8,258,31.8,43,32,51,1,0,0,0,0,"1.84",7e+06,0,1,0,0
"252","Sassuolo","Hamed Junior Traorè","21",7,2,0,3,0,4.7,3.2,"FW",51.9,10,1,4,0.44,51,43.1,0.09,822,78.3,3349,35,35,4,94,35,24.3,407,22.4,26,25,6,0,0,0,0,0,"1.77",2.2e+07,1,0,0,0
"253","Sassuolo","Rogério","23",0,1,0,5,0,0.4,2.2,"DF",50.6,4,11,-4,0.79,14,28.6,0.03,1139,82.9,5226,26,26,16,61,21,41.2,175,35.4,32,34,39,2,0,0,0,0,"1.78",6e+06,0,1,0,0
"254","Sassuolo","Jeremy Toljan","26",0,1,0,2,0,0.1,1.1,"DF",40.9,5,5,5,0.64,3,33.3,0.02,855,88.3,4179,13,11,4,38,18,61.9,129,36.4,34,22,28,1,0,0,0,0,"1.82",5e+06,0,1,0,0
"255","Sassuolo","Kaan Ayhan","26",1,0,0,2,1,0.3,0,"DF",39.6,9,11,-1,0.32,5,20,0.06,869,90.7,6225,2,2,0,76,22,25,124,30.6,23,24,57,0,0,0,0,0,"1.85",5e+06,0,1,0,0
"256","Sassuolo","Grégoire Defrel","30",2,2,0,3,0,3.9,2.1,"FW",39.8,27,0,-13,-0.47,27,37,0.15,399,85.5,658,22,13,0,24,20,33.3,287,30.7,12,6,10,0,0,0,0,0,"1.79",3e+06,1,0,0,0
"257","Sassuolo","Matheus Henrique","23",0,1,0,3,0,0.3,1.1,"MF",31.5,15,7,2,-0.28,7,0,0.04,614,90.7,2267,14,7,1,43,14,25.9,189,27,15,13,12,0,0,0,0,0,"1.75",1.1e+07,0,0,1,0
"258","Sassuolo","Abdou Harroui","23",0,0,0,2,0,0.5,0.2,"MF",13.2,19,6,-3,0.18,13,15.4,0.04,297,86.5,921,5,0,0,14,12,40,139,26.6,15,7,3,0,0,0,0,0,"1.82",3e+06,0,0,1,0
"259","Sassuolo","Francesco Magnanelli","36",0,0,0,1,0,0.1,0,"MF",7.9,10,22,-5,-0.98,2,0,0.03,253,89.3,964,1,1,0,15,6,36.4,61,24.6,4,4,4,0,0,0,0,0,"1.81",4e+05,0,0,1,0
"260","Sassuolo","Francesco Caputo","33",0,1,0,1,0,0.7,0.4,"FW",4.6,0,0,1,0.31,4,0,0.17,35,80,35,3,1,0,2,0,0,10,20,1,0,0,0,0,0,0,0,"1.81",2500000,1,0,0,0
"261","Sassuolo","Gianluca Pegolo","40",0,0,0,0,0,0,0,"GK",2.6,0,37,-3,-0.24,0,0,0,34,85.3,485,0,0,0,0,0,0,0,0,0,0,0,0,3,5,40,0,"1.83",1e+05,0,0,0,1
"262","Sassuolo","Federico Peluso","37",0,0,0,0,0,0,0,"DF",0.3,2,33,0,-0.94,0,0,0,3,100,21,0,0,0,1,1,100,2,50,0,0,0,0,0,0,0,0,"1.88",3e+05,0,1,0,0
"263","Sassuolo","Giacomo Satalino","22",0,0,0,0,0,0,0,"GK",0.2,1,28,0,0.07,0,0,0,1,100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,"1.88",2e+05,0,0,0,1
"264","Sassuolo","Luigi Samele","19",0,1,0,0,0,0,0.4,"FW",0.1,2,3,1,8.42,0,0,0,3,66.7,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1.86",250000,1,0,0,0
"265","Sassuolo","Edoardo Goldaniga","27",0,0,0,0,0,0,0,"MF",0,1,12,0,-5.42,0,0,0,1,100,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1.93",1e+06,0,0,1,0
"266","Udinese","Marco Silvestri","30",0,0,0,1,0,0,0.1,"GK",92.1,0,0,5,0.99,0,0,0,946,67.4,13444,2,0,0,0,0,0,4,0,0,0,1,1,50,133,66.2,7,"1.91",5e+06,0,0,0,1
"267","Udinese","Rodrigo Becão","25",2,1,0,10,0,1.1,0.8,"DF",91.5,0,0,8,0.67,19,26.3,0.06,1398,79.7,7922,9,5,1,51,95,52.6,459,41.2,53,59,105,3,0,0,0,0,"1.91",6e+06,0,1,0,0
